X,Y,FID,NAME,CLASS,ST,STFIPS,PLACEFIPS,CAPITAL,POP_CLASS,POPULATION,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC
-79.958089738,37.2784089530001,2442,Roanoke,city,VA,51,5168000, ,8,100823,97032,62343,27612,279,1704,53,5345,2299,2742,46390,50642,6948,5688,5171,5509,6423,14434,12706,13993,12324,6634,4739,2463,38.4,36.7,40.1,42712,2.22,8486,10564,5450,8564,1177,4905,23487,2.92,47453,4741,23401,19311
-77.1086305699999,38.78698998,2443,Rose Hill,Census Designated Place,VA,51,5168880, ,6,20437,20226,13358,2225,82,1989,19,4220,1781,772,10133,10093,1399,1315,1264,1218,1065,2719,3176,3337,2529,1261,707,236,38.8,37.8,39.8,7179,2.81,955,1035,1955,2126,181,421,5172,3.25,7447,268,5495,1684
-80.055387589,37.286406587,2444,Salem,city,VA,51,5170000, ,6,25848,24802,21872,1763,62,402,6,601,323,374,11767,13035,1196,1340,1449,2119,2207,2515,2923,3600,3213,2137,1491,612,40.6,38.7,42.2,10045,2.3,1570,2140,1770,2833,232,813,6309,2.86,10832,787,6624,3421
-77.620079431,37.6549422890001,2445,Short Pump,Census Designated Place,VA,51,5172272, ,6,28200,24729,18551,1411,33,3939,3,784,177,615,11973,12756,1632,2148,2279,1808,1148,3167,4223,4339,2309,895,518,263,35.4,34.7,36.1,9217,2.67,1120,1599,3455,2100,148,501,6483,3.25,9795,578,5804,3413
-77.5132216929999,38.9121426680001,2446,South Riding,Census Designated Place,VA,51,5174100, ,6,34195,24256,14120,1564,52,7019,14,1806,507,980,11894,12362,2785,2935,2045,1209,666,3505,5761,3090,1414,614,178,54,32.7,32.9,32.5,7414,3.27,570,601,3994,1469,143,391,6228,3.59,7653,239,6505,909
-77.183880415,38.780857573,2447,Springfield,Census Designated Place,VA,51,5174592, ,6,31356,30484,14846,2739,211,7415,26,7766,3828,1419,15175,15309,1991,1917,1787,1762,1871,4518,4362,4446,3193,1573,1656,1408,38.2,36,40.6,10194,2.97,1278,1996,2625,2674,319,595,6884,3.52,10630,436,6354,3840
-79.060823577,38.159284029,2448,Staunton,city,VA,51,5175216, ,6,25003,23746,19874,2885,48,185,7,513,189,558,10747,12999,1348,1238,1190,1569,1561,3027,2702,3259,3162,2320,1657,713,42.3,41.1,43.3,10480,2.15,1803,2651,1471,2723,242,880,5982,2.79,11738,1258,6196,4284
-77.405196943,39.0052153500001,2449,Sterling,Census Designated Place,VA,51,5175376, ,6,29420,27822,15147,2258,131,3925,23,9230,4982,1356,14267,13555,2320,1914,1594,1648,1833,5303,4691,3862,2662,1283,525,187,33.7,33.1,34.4,9171,3.03,1266,1391,2689,2273,291,623,6476,3.46,9603,432,6827,2344
-77.496105771,38.787821415,2450,Sudley,Census Designated Place,VA,51,5176416, ,6,17339,16203,8213,2500,147,993,40,6115,3436,874,8316,7887,1542,1243,1020,1081,1197,3050,2502,2086,1305,686,303,188,31.6,30.9,32.5,5114,3.17,775,699,1455,1044,221,492,3610,3.59,5377,263,3067,2047
-76.5875705879999,36.7314557360001,2451,Suffolk,city,VA,51,5176432, ,7,92337,84585,44197,36120,268,1350,54,2415,648,1948,40588,43997,5961,6217,6129,5912,4562,10137,12596,13676,9668,5661,2878,1188,37.7,36.8,38.6,30868,2.7,3418,4203,7852,8966,720,3350,23135,3.12,33035,2167,22472,8396
-77.376146483,39.0309076730001,2452,Sugarland Run,Census Designated Place,VA,51,5176464, ,6,12381,11799,6545,990,50,1742,6,3397,1885,581,5992,5807,1032,881,839,795,708,1877,1882,1910,1207,454,165,49,33.8,33,34.6,3594,3.28,366,350,1291,937,114,267,2864,3.53,3716,122,2881,713
-79.2480424399999,37.316503568,2453,Timberlake,Census Designated Place,VA,51,5178688, ,6,13071,12183,10469,980,21,303,1,358,183,226,5792,6391,650,719,760,823,1101,1516,1496,1785,1370,1087,696,180,38.5,37,39.8,5169,2.36,747,1058,1011,1540,119,385,3354,2.88,5487,318,3436,1733
-77.590096,37.581972846,2454,Tuckahoe,Census Designated Place,VA,51,5179560, ,6,46456,44990,36832,4355,93,1845,16,2640,977,872,21044,23946,2602,2919,3167,2858,2260,5318,5730,6744,5654,3426,2867,1445,41,38.4,43.3,18496,2.42,2275,4118,4245,5215,396,1175,12064,3,19679,1183,12181,6315
-77.227264826,38.9214851790001,2455,Tysons Corner,Census Designated Place,VA,51,5179952, ,6,22053,19627,11954,953,32,5399,22,1589,379,888,9353,10274,1230,976,906,728,1034,4622,3321,2660,1964,1191,720,275,35.9,35.1,36.6,9481,2.07,2128,2588,1725,2052,108,380,4754,2.87,10637,1156,4334,5147
-77.259619383,38.89962545,2456,Vienna,town,VA,51,5181072, ,6,16255,15687,11844,495,48,1891,7,1887,835,567,7824,7863,1044,1135,1183,967,678,1560,2298,2739,2018,1096,705,264,40.7,39.3,42,5528,2.84,564,737,1807,1699,100,272,4215,3.19,5686,158,4502,1026
-76.0610033579999,36.7518942030001,2457,Virginia Beach,city,VA,51,5182000, ,8,461663,437994,296670,85935,1685,26769,657,28987,8622,17656,214441,223553,29225,28421,29037,30380,35141,67528,59456,64868,47503,25916,14889,5630,34.9,33.2,36.7,165089,2.6,23821,26643,39125,44607,4234,15579,113999,3.08,177879,12790,107778,57311
-77.2406662619999,38.8230105710001,2458,Wakefield,Census Designated Place,VA,51,5182371, ,6,11484,11275,8698,250,20,1870,7,821,129,301,5521,5754,511,756,955,826,427,720,1320,2065,1755,1123,663,154,45.6,45,46.2,3851,2.93,198,390,1280,1614,56,122,3262,3.16,3931,80,3550,301
-78.9012063389999,38.06731646,2459,Waynesboro,city,VA,51,5183680, ,6,21699,21006,17274,2229,58,154,5,1337,605,681,10006,11000,1535,1423,1208,1232,1238,2959,2457,2928,2459,1809,1229,529,38.7,36.4,40.9,8903,2.34,1368,1902,1472,2300,302,917,5589,2.9,9717,814,5375,3528
-77.226711281,38.7771382560001,2460,West Springfield,Census Designated Place,VA,51,5184976, ,6,22643,22460,15292,1746,72,3511,34,2967,895,910,10776,11684,1312,1418,1657,1549,1076,2599,3320,3829,3014,1583,887,216,40,39,40.8,8357,2.69,880,1358,2317,2566,145,539,6105,3.16,8556,199,6798,1559
-76.703413,37.2655633750001,2461,Williamsburg,city,VA,51,5186160, ,6,14904,14068,10407,1968,38,808,5,941,353,489,6625,7443,433,366,364,2337,3887,1624,922,1053,1203,1071,603,205,24.5,24.6,24.5,4571,2.17,1076,1233,472,1208,64,262,2252,2.66,5176,605,1998,2573
-78.174524148,39.173394172,2462,Winchester,city,VA,51,5186720, ,6,27308,26203,19532,2864,93,611,4,4041,2299,800,12898,13305,1775,1675,1481,1944,2314,3887,3100,3507,2844,1766,1363,547,35.1,33.7,36.7,10607,2.38,2121,2484,1748,2312,328,943,5957,3.06,11872,1265,4861,5746
